model_id,description,n,sensitivity,ci_low,ci_high
A1,"Full PACE-ASD (L=15, M=8)",14,0.7857142857142857,0.524107694133997,0.924286132873068
A2,No-Block-ESG (dense Transformer),14,0.7857142857142857,0.524107694133997,0.924286132873068
A3,"Frame-granularity gate (L=1, M=120)",14,0.7857142857142857,0.524107694133997,0.924286132873068
A4,No-Transformer (linear head on ESG output),14,0.8571428571428571,0.6005862050302965,0.9599060787285351
A5_lstm,Stacked LSTM,14,0.6428571428571429,0.387644231039074,0.8365526824644587
A5_conv1d_bilstm,Conv1D-BiLSTM-Attn,14,0.6428571428571429,0.387644231039074,0.8365526824644587
A5_kinematic_cnn,Kinematic CNN-LSTM,14,0.7142857142857143,0.4535091567010681,0.8827862135542308
A5_stts,STTS,14,0.35714285714285715,0.1634473175355414,0.612355768960926
A5_msg3d,MS-G3D,14,0.9285714285714286,0.6853129557584889,0.9872777847521091
A5_msg3d_convnext,MS-G3D + ConvNeXt,14,0.8571428571428571,0.6005862050302965,0.9599060787285351
A5_skelformer,SkelFormer,14,0.42857142857142855,0.2138079890447412,0.6740935542034925
A5_mtcformer,MTC-Former,14,0.6428571428571429,0.387644231039074,0.8365526824644587
A5_mtt,MTT,14,0.7857142857142857,0.524107694133997,0.924286132873068
A5_star,STAR,14,0.6428571428571429,0.387644231039074,0.8365526824644587
A5_lr,MediaPipe + LR,14,0.5714285714285714,0.32590644579650746,0.7861920109552588
A5_svm,MediaPipe + SVM (RBF),14,0.7142857142857143,0.4535091567010681,0.8827862135542308
A5_rf,MediaPipe + RF,14,0.6428571428571429,0.387644231039074,0.8365526824644587
A5_xgboost,MediaPipe + XGBoost,14,0.5,0.26799202452413634,0.7320079754758637
